,0
0,-19.007317223110626
1,-23.236657066028734
2,-21.105450396466406
3,-19.0270048898253
4,-18.421331953067543
5,-20.582929128921947
6,-21.999324792490984
7,-19.2726498043954
8,-22.19159772392946
9,-19.713104381482065
10,-21.087612313082026
11,-23.966649177294247
12,-21.935735965480323
13,-21.905240926131167
14,-21.074314424667183
15,-21.39630446223379
16,-23.032523919288977
17,-21.771189738553627
18,-20.63944724314974
19,-20.590951304620866
