,0
0,-10.92082513481175
1,-9.547069481567567
2,-6.06805179330179
3,-10.48349487587429
4,-11.116886019685593
5,-12.055560048795371
6,-11.439074841345912
7,-13.485931244470317
8,-10.705035091619866
9,-12.545776632635375
10,-9.528244213485928
11,-6.64713851248894
12,-9.408421058360288
13,-7.262042534242911
14,-9.452604470951632
15,-9.56880092364561
16,-9.033872568694905
17,-7.0776266962238985
18,-8.89116946913012
19,-9.281481801073186
