,0
0,3.1260667
1,5.285971
2,6.0198846
3,4.9562893
4,5.100587
5,4.531734
6,4.3928666
7,4.9530487
8,1.6508809
9,1.7249777
10,0.7166047
11,-2.4127662
12,-3.8488595
13,-4.721435
14,-4.528271
15,-4.861222
16,-4.7169304
17,-4.973274
18,-7.1590824
19,-5.2370696
