#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
55000,-462902.34434886463,86442.46875,-376459.87559886463,297.63786067390254,341.08886480123283,0
60000,-461950.26983484905,86992.703125,-374957.56670984905,299.5324222778507,340.8102315210522,8.55
65000,-463998.15668542497,86328.3515625,-377669.80512292497,297.2449334930297,340.0033528715068,8.69
70000,-463336.2647404149,87293.0,-376043.2647404149,300.56640153289203,341.30534415585936,8.76
75000,-462443.9429425746,86540.40625,-375903.5366925746,297.9750781134467,340.776257401071,8.81
80000,-464306.2699479861,86311.2109375,-377995.0590104861,297.18591506112483,340.1598176711441,8.85
85000,-463139.10699977586,86560.90625,-376578.20074977586,298.0456635124068,342.10552652082305,8.88
90000,-461689.9715345241,85982.7890625,-375707.1824720241,296.05509608190044,341.3702817294245,8.9
95000,-462897.4890858773,87169.0703125,-375728.4187733773,300.1396880482487,340.9601353667985,8.91
100000,-464975.59636152955,86303.203125,-378672.39323652955,297.15834263965604,339.48520630132526,8.91
